title,condition,rating,reviewNum,location
[제주/애월] 애월 바다가 보이는 작은 숲속 힐링하우스 조이힐 펜션,6박,4.6,15,애월읍
[제주/구좌] #정원형 마당 독채 #테라스 '녹색 감성하우스 N',6박,4.2,24,구좌읍
[제주시] 제주오렌지하우스,6박,4.8,16,노형동
"[제주시] 쾌적하고 편안한 쉼을 원한다면, 감성 끝판왕 | 제주마이홈",29박,0,0,연북로
[서귀포/서귀포시] #돌담 #올레길 #사계절 아름다운 정원 #제주 힐링여행 늘봄스테이,29박,4.2,5,예래동
[제주/한림] 씨더비양,6박,4.8,69,한림읍
[제주시/조천] 제주도유펜션,14박,4.5,29,신촌10길
[제주/구좌]#독채 #테라스 #논밭뷰 #돌담길 '돌담 위 이층집',14박,4.5,24,구좌읍
[제주/애월] #럭셔리 스테이 #오션뷰 #욕조 #소파 #애월해안도로 '애월빌리지 303호',29박,4.7,6,애월읍
[제주/구좌] #넓은 마당 독채 #돌담 #논밭뷰 '진아네하우스',6박,4.6,39,구좌읍
[친환경 숙소] [서귀포/안덕] 따뜻한 제주 정남향 '쉼' 하우스 / 덕수리 프라이빗 단층 독채,14박,4.5,34,안덕면
[제주/한림] #한옥형 독채# #넷플릭스 가능 #천장 통창뷰 #논밭뷰 '마중',14박,3.8,7,한림읍
[서귀포시] 섬 세개 보이는 탁트인 오션뷰! 제주 서귀포 모드니에 펜션,6박,4.7,36,동홍로239번길
[친환경 숙소] [서귀포/대정] #복층형 독채 #논밭뷰 #바다 5분거리 #바다 앞 돌고래뷰 #편의점 1분 거리 '소랑 in 제주',6박,4.6,40,대정읍
[제주/애월] #럭셔리 스테이 #오션뷰 #욕조 #소파 #애월해안도로 '애월빌리지',14박,4.7,30,애월읍
[서귀포/서귀포시] 초록 제주의 미드나잇 타운 하우스,29박,4.8,7,영천동
[제주/애월] 올레프로방스,6박,4.8,38,애월읍
[서귀포/대정] #복층형 독채 #바다 앞 돌고래 뷰 #바다 5분거리 #유아용 텐트 '제주하랑펜션',6박,4.5,36,대정읍
[친환경 숙소] [제주/한경] #2개 독채 사용 #자쿠지 #돌담 #럭셔리 스테이 '용수집',6박,4.4,16,한경면
"[제주시] 제주스카이라인 독채 휴양펜션 (단층독채, 잔디마당, 테라스)",6박,4.6,39,주르레남길
[제주/조천] #탁트인전망 #돌담길 #테라스 아기자기 제주스러움이 가득한 '해담은 와산',6박,5,3,조천읍
[제주시] 해변 5분/공항 10분 최상의 위치 신축 하우스,6박,4.8,219,원노형2길
[서귀포/성산] 제주바다앞 한달살기 삼달삼달,29박,4.8,81,성산읍
[제주/한림]  ☞Relax @ 청정제주 협재해수욕장 ★ 에퀴녹스 드 협재 ★,6박,4.8,63,한림읍
[제주시] *제주탐라도서관 옆* 푸른숲의 여유와 아늑함이 가득한 선하우스,6박,4.8,21,노형동
[제주/애월] “특특가!” 남매 펜션,6박,4.7,41,애월읍
[제주/조천] 마마가 만드는 작은세상.. 미니어쳐를 만날수 있는 노을맛집 마마미니,6박,5,60,조천읍
[서귀포/표선] 제주 율 하우스,14박,4.7,23,표선면
[제주/구좌] 비자림의 아침 - 천년의 숲 비자림앞 청정 숙소,14박,4.7,62,구좌읍
[제주/한림] 레몬하우스,29박,4.9,18,한림읍
[제주/애월] 곽지해수욕장 과 애월 한담 산책로와 함께하는 까사벨라,6박,5,27,애월읍
[제주/한림] 올림픽 별장 캠프 올레,14박,4.7,16,한림읍
[서귀포시] 제주인하우스펜션,6박,4.9,37,법환상로2번길
"[제주/한경] 산과 바다가 한눈에, 노을이 아름다운 고산이랑",14박,4.8,31,한경면
[제주/한림] 쉼이 있는 특별한 선택 제주더힐링,14박,4.6,7,한림읍
"[제주시] 비자림베리멍 (무엇을 보면서, 무엇을 바라보면서)",6박,4.9,24,구좌읍
[제주/조천]★풀빌라 소랑★투룸 스파/사계절 공용수영장/단지내CCTV/함덕해변 차량 15분/,29박,4.2,5,조천읍
[제주/구좌] 방에서 청정 제주 동쪽 바다를 감상하며 편안함을 누리는 별방21펜션,14박,4.4,17,구좌읍
"[제주/조천] 제주 조천에 위치한 천상의 화원, 브니엘하우스",6박,4.9,8,조천읍
[제주/한경] 예스러운 행복한 민박,29박,4.8,7,한경면
"[제주/애월] 비대면 완벽 가능한 프라이빗애월 풀(pool)빌라,전용 수영장있는 2층단독 주택",29박,4.5,4,애월읍
[제주/구좌] 덕천씨엘빌,29박,4.9,11,구좌읍
[제주/한경] 지니하우스,6박,5,16,한경면
﻿[서귀포시] 내진설계로 지진에도 안전한 제주 푸른 바다를 담은 창이 아름다운 집,29박,4.8,7,신효로25번길
[서귀포시] 제주 바다와 베릿내오름이 보이는 중문 올레 하우스,29박,4.8,15,천제연로178번길
[제주/조천] 함덕해수욕장이 보이는 모던형 고급 아파트 (유럽풍 전원살이),29박,4.5,10,조천읍
"[서귀포시] 반려동물 동반가능, 제주 다온재",14박,4.8,7,산성효자로114번길
[제주/한경] 느르왓,29박,4.9,8,한경면
[제주/한림] 호텔 한림항,29박,4.3,11,한림읍
[제주/구좌] 잔디마당이 있는 복층 올레민박펜션 / (구)까망집,14박,0,0,구좌읍
[제주/애월] ★ 푸른우연하우스/ ★반려견 동반 환영★ 애월 중산간/넓은잔디마당,6박,4.9,12,애월읍
[제주/애월] 곽지해수욕장과 한담해변이 가까운 곳에 있는 제주 모아나 하우스,14박,5,1,애월읍
[제주시] 도련 럭셔리 코코하우스,29박,4.9,9,도련일동
[제주/애월] 휴라벨,29박,0,0,애월읍
[제주/애월] 애월 조용한 마을에서 프라이빗한 제주살이 가능한 독채,29박,4.7,6,애월읍
[제주/한경] 수월이와 당산이,29박,4.4,5,한경면
[제주/구좌] 캠프 해리,29박,0,0,구좌읍
[제주/한림] 특가!! 환상적인 오션뷰! 석양이 아름다워 신도 쉬었다가 가는 쉼터 마므레,29박,4.4,3,한림읍 귀덕11길
"[제주/한림] 자연과 통하는 곳, 넓은 골프장이 구비되어 있는 제주 아덴힐 골프 리조트",29박,0,0,한림읍
[제주/조천] 스위스마을 로제,6박,4.9,7,조천읍
"[제주/한림] 두모담 하우스/돌담정원, 바다, 오름 뷰/최고 감성독채/텃밭, 돌담산책로, 비양도 뷰",6박,5,6,한림읍
[서귀포/안덕] 제주 그리움 동광,29박,5,1,안덕면
[제주/애월] 제주 속 가성비 리조트,6박,4.3,21,애월읍
[제주/애월] 무수천의 아침을 여는 곳. 마운틴뷰가 아름다운 황금알,6박,5,13,애월읍
[제주/한림] 제주 할망집,29박,0,0,한림읍
"[서귀포/안덕] 제주지오바니, 한라산 아래 첫 마을 잔디마당 신축독채",29박,5,4,안덕면
"가족방[서귀포/성산] 제주안안민박, 신양리해수욕장300m, 성산일출봉&섭지코지",14박,0,0,성산읍
[제주/구좌] 구좌읍 한동가름 타운하우스 / 노을view가 멋스러운 단독주택,14박,5,2,구좌읍
[제주/애월] 제주도 전통의 돌집과 감성을_'ON&溫' 공간 HOUSE,29박,0,0,애월읍
[제주/조천] 스위스마을 208동,14박,5,2,조천읍
"[제주/조천] 사려니 숲길과 삼다수 숲길 한가운데, 제주의 아름다운 숲을 담은 피카소",6박,4,6,조천읍
[제주/애월] 푸른바다와 가까이 있는 신축 숙소 '더포레',29박,5,1,애월읍
[서귀포시] 제주 중문 오션클라우드,29박,5,5,천제연로178번길
[제주시] 이호해수욕장 근처 댕댕이 동반 가능한 원룸,29박,4.5,2,이호동
[제주/구좌] <반려견 동반 가능> 방안에서 멋진 노을과 오션뷰를 즐길 수 있는 온호이,29박,0,0,구좌읍
"[제주시/구좌읍] 올레21길 해안 가까운 신축 숙소, 아주하우스",29박,4,4,구좌읍
[제주시] *반려견 입실 가능!* 연동 코코하우스,6박,4.3,4,연오로
[서귀포시]  바로 앞 아름다운 해안도로가 펼쳐지는 제주하다,14박,4.5,2,표선면
[제주/조천] 오션뷰&마운틴뷰(더블뷰)갓성비,29박,5,1,신북로
[제주/조천] 10걸음만 나가면 바닷가 /풀옵션 건조기 몸만들어오세요~/ 인프라좋은 제주를담은 신촌블루스2호낚시가능,14박,4.5,2,조천읍
[제주시] 제주공항근처 깨끗한 원룸(버스정류장 집앞),29박,0,0,백포동길
[서귀포시] 도시와 농촌이 함께한 낭만적인 신규숙소 '제주 나드리',14박,5,3,도순남로
[제주/제주시] 침대에 누워 창문 가득 펼쳐진 바다 #제주통창오션뷰 #파도 'House',29박,5,1,도두동
[제주/애월] 로에스힐,14박,5,1,애월읍
[제주/조천] 제주도 조천 황토 House,14박,4.3,7,조천읍
[서귀포시] 푸릇한 마을 속 제주 토랑,29박,0,0,중산간서로
[제주/한림] 한라산과 오션뷰 으뜸원,14박,4.3,10,한림읍
[제주/구좌] 덕천씨엘빌,29박,4.7,9,구좌읍
[제주/구좌] 하도와,29박,5,4,구좌읍
[서귀포시] 제주 오션뷰 Spielraum(play area) for only me,29박,4.8,4,천제연로178번길
[제주/한림] #부띠끄 스테이 #애견동반 가능(일부) #협재해수욕장 1분거리 #가성비 #1층 스시 식당 'gallery12',29박,4.3,157,한림읍
[서귀포시] 제주화펜션,29박,5,1,516로277번길
[제주/애월] 코지하우스앤투어,6박,4.8,61,애월읍
[제주/애월] 제주 속 하와이 스테이 지베 #단독주택 #테라스 #복층,14박,0,0,애월읍
[제주/애월]한라산 기슭 그림 같은 초원 안 더 스카이빌,29박,0,0,애월읍
[서귀포/성산] 제주 동쪽바다를 한눈에 보며 힐링하는 스팟 #오션뷰 #신축 #독채 #해안도로,29박,0,0,성산읍
[제주/애월] 사랑마음이네 #고내오름 #대중교통,14박,0,0,애월읍
[제주/애월] 단체 가능한 조용하고 한적한 '복층 독채',29박,0,0,애월읍
"[서귀포/성산] 청정 제주 동부를 정원에 한 가득 담은 낭만 명소, kia ora",6박,5,2,성산읍
[제주/구좌]세화해변에 위치한 감성 북스테이 #제주 워케이션 #한달살이 #book bar,6박,0,0,구좌읍
[제주/구좌] 지친 일상으로 힘들어진 몸과 마음을 충전해 줄 산도롱 펜션  (단독 주택 / 복층),6박,0,0,구좌읍
[제주/제주시] 테리의 코지하우스 #공항10분거리,29박,0,0,연동
"[제주/애월] 한담 해안도로에서 5분, 여유로운 시간, 즐길 수 있는 공간 '다래 House'",29박,0,0,애월읍
[제주/구좌] 철없는펜션 - 비자림 근처 청정지역에 위치한 조용한 숙소,6박,5,58,구좌읍
[제주/구좌]숲속 별장같은 제주 신축 타운하우스 #풀옵션 #고급 독채 #골프장 인접,29박,0,0,구좌읍
[제주/조천] 동편 여행을 위한 최적의 위치 ' 신축 화이트 하우스 ',29박,0,0,조천읍
[친환경 숙소] [제주/한림] #단독 독채 #테라스 #해먹 #논밭뷰 #옥상단상 '설레임',6박,4.5,13,한림읍
[제주/애월]유수암리에 위치한 조용하고 아늑한 독채 #워케이션 #제주살이 #편리한 접근성,29박,0,0,애월읍
"[제주/함덕] 옛 느낌과 모던함이 어우러진 신축 전원주택, 함덕 그레이",6박,0,0,조천읍
[제주/한림] 전 객실 독채 ♥ 제주의 자연과 함께하는 편안하고 프라이빗한 펜션,6박,4.8,14,한림읍
[제주/애월] #애월바다앞 #넓은잔디마당 #깔끔한시설 #애월해안도로 'THE애월 펜션',29박,4.9,18,애월읍
[제주/애월] 유티에스빌리지,29박,4,45,애월읍
[제주시] 애월바다를 품은 곽지해수욕장 신축펜션 팀버하우스,6박,4.9,46,애월읍
[제주/조천] 함덕해변의 제주 오션뷰를 감상할 수 있는 곳,29박,0,0,조천읍
"[서귀포/대정] 제주도키즈펜션, 아이놀이방 넓은 객실 많은 인원의 가족들과 제주여행이라면 바로 여기",6박,0,0,대정읍
[제주/한경] 꽃과 노을이 있는 집,6박,0,0,한경면
[서귀포/성산] 제주도 동쪽 가족생활형 돌담 독채 숙소,6박,0,0,성산읍
[제주시] 신제주 시내 중앙에 위치한 제주 센트럴파크 레지던스,6박,4.7,26,신대로12길
[제주/애월] 깔끔하고 편안한 바다뷰 제이빌,29박,4.8,69,애월읍
[제주/조천] 송이하우스,29박,0,0,조천읍
[제주/애월] #애월해안도로 #노을맛집 #루프탑 #파티룸 #서쪽 제주의 바다와 하늘을 품은 아미고 게스트하우스,6박,5,4,애월읍
"[제주/한림] 대지 120평&돌담집 감성숙소, 특별한 추억: 구름소랑",6박,5,1,한림읍
"[제주시] 테라스 있는 독채 하우스, The Time , 제주공항과 바오젠거리 5분",29박,5,2,연동
[서귀포/대정] 제주의 아늑한 삶을 담은 하모로민박,6박,5,21,대정읍
[제주/노형] 제주 도심에서의 생활 #가성비 #제주시내,6박,0,0,노형동
[서귀포/표선] 표선해수욕장 바로 앞 제주한달살기 모던빌라 일성빌,29박,5,4,표선면
[제주/제주시] #오션뷰맛집# #1층 스타벅스 #공항 10분거리 #바다 산책로 'White house',29박,4.4,70,서해안로
[제주/구좌] 친환경 자재를 이용한 목조 주택 | Melting Cat (반려묘가 있어요),6박,0,0,구좌읍
[제주/애월] 제주도 여행에 최적인 애월읍 숙소 아르본리조트,6박,3.8,72,애월읍
[서귀포시]조용한 동네에서 제주도를 느껴보세요#좋은 편의시설 -글로리하우스,29박,0,0,예래동
[제주/조천] 거문오름이 보이는 곳에서 온전히 '쉼' 을 위해,6박,0,0,조천읍
[제주/한림] 해넘이달 렌탈하우스,6박,5,11,한림읍
[제주/애월] 오션뷰 풀옵션 타운하우스 / 야외 족욕까지 매력적인 트윈픽스,29박,4.8,4,애월읍
[제주/애월] 제주 솔한옥,6박,4.9,103,애월읍
"[제주/한림] 반려견과 함께 비양도를 내 품안에, 해피데이",6박,4.7,56,한림읍
[제주시] 신축풀옵숙소 한달살기 '라온스테이',6박,4.5,10,공설로5길
"[제주/애월] 한옥풍 외관, 편백나무 실내: 반려동물 동반 가능 '탐라별채' 하우스",29박,0,0,애월읍
